id,purpose,postCode,regionCode,dti,delinquency_2s,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,CreditLine
5388,4,32.0,21,21.74,0,690,694,14,0,0.0,17077,39.6,15,1,0,2310
5389,4,49.0,12,13.79,0,735,739,6,0,0.0,16162,48.1,22,1,0,4320
5390,0,143.0,8,14.57,0,695,699,8,0,0.0,20325,83.0,14,0,0,6270
5391,2,43.0,19,30.52,0,670,674,16,0,0.0,29196,78.9,29,1,0,7410
5392,8,400.0,17,1.6,1,670,674,6,0,0.0,2021,39.6,16,1,0,3510
5393,0,32.0,21,6.87,0,735,739,6,0,0.0,8086,35.5,7,0,0,3030
5394,0,252.0,43,29.63,0,715,719,24,0,0.0,18947,35.5,79,0,0,6540
5395,0,238.0,22,20.89,0,660,664,18,0,0.0,19037,85.8,22,1,0,12330
5396,0,521.0,24,12.0,0,665,669,9,0,0.0,2954,47.6,13,0,0,3810
5397,0,263.0,0,26.32,1,725,729,16,0,0.0,30505,28.8,34,0,0,8220
5398,0,4.0,3,24.88,0,760,764,9,0,0.0,5021,16.4,22,0,0,3780
5399,4,157.0,8,10.04,0,665,669,9,1,1.0,8851,64.7,23,0,0,6420
5400,5,251.0,8,23.13,0,680,684,4,1,1.0,583,24.3,23,0,0,16260
5401,5,103.0,36,14.43,0,705,709,9,0,0.0,28829,81.2,22,1,0,7530
5402,0,222.0,12,11.25,1,665,669,5,0,0.0,29,0.7,10,0,0,1890
5403,0,738.0,24,33.2,0,695,699,15,0,0.0,14432,36.4,25,1,0,5520
5404,0,4.0,3,24.25,0,685,689,8,0,0.0,22918,72.5,19,1,0,6210
5405,0,447.0,30,5.66,0,680,684,10,0,0.0,23001,44.5,14,1,0,8340
5406,5,369.0,21,5.79,1,700,704,16,0,0.0,4844,10.5,51,1,0,5160
5407,4,19.0,14,28.28,1,700,704,16,0,0.0,46673,52.9,32,1,0,5430
5408,0,301.0,21,14.62,2,680,684,20,1,0.0,5650,15.7,52,1,0,8760
5409,4,29.0,19,26.6,0,750,754,22,0,0.0,39999,34.8,51,0,0,11190
5410,0,247.0,32,15.6,1,665,669,11,0,0.0,9874,47.2,48,0,0,4920
5411,0,186.0,9,6.96,1,685,689,11,0,0.0,18674,78.5,18,0,0,8340
5412,4,208.0,28,13.16,1,670,674,5,0,0.0,10879,93.8,8,0,0,2940
5413,2,129.0,30,8.14,0,680,684,9,0,0.0,29076,59.1,28,1,0,4470
5414,4,160.0,4,23.64,0,685,689,12,0,0.0,17888,23.2,39,0,0,6150
5415,4,296.0,5,13.46,0,680,684,10,8,0.0,5678,63.8,32,0,0,5760
5416,5,38.0,21,23.7,0,685,689,13,0,0.0,7443,33.0,18,1,0,4680
5417,4,42.0,26,29.02,0,695,699,8,0,0.0,38720,96.6,20,1,0,5820
5418,0,80.0,21,10.17,0,680,684,20,0,0.0,5080,22.4,25,1,0,5160
5419,5,41.0,25,13.69,1,665,669,7,0,0.0,3873,79.0,12,0,0,3720
5420,4,185.0,3,18.84,0,720,724,11,0,0.0,20956,55.9,20,0,0,3180
5421,4,99.0,8,18.63,0,700,704,10,0,0.0,26666,92.6,26,1,0,4050
5422,0,341.0,14,23.02,0,765,769,15,0,0.0,12975,28.5,48,0,0,10350
5423,0,337.0,14,8.81,0,690,694,5,0,0.0,1754,50.1,6,1,0,1740
5424,0,134.0,8,13.8,1,660,664,9,0,0.0,3652,46.8,19,0,0,5100
5425,0,36.0,13,30.17,0,680,684,19,0,0.0,12990,40.8,28,0,0,10230
5426,3,498.0,32,40.21,0,705,709,9,0,0.0,6388,47.3,15,1,0,7800
5427,0,72.0,10,6.48,4,675,679,8,0,0.0,5471,68.4,21,0,0,4770
5428,0,108.0,21,16.65,1,665,669,22,0,0.0,19320,61.7,33,1,0,8970
5429,0,365.0,19,26.1,0,755,759,3,0,0.0,0,0.0,4,0,0,2850
5430,0,665.0,40,49.76,0,710,714,17,0,0.0,29081,57.8,36,1,1,6810
5431,1,171.0,8,4.37,2,690,694,10,0,0.0,4076,59.9,18,1,0,3030
5432,4,177.0,26,27.51,0,665,669,9,1,1.0,12354,63.4,27,0,0,5220
5433,0,251.0,8,25.01,1,665,669,8,0,0.0,265,15.6,32,1,0,3510
5434,4,570.0,43,19.64,0,675,679,15,0,0.0,21692,71.8,33,1,0,8850
5435,10,38.0,21,16.27,0,670,674,5,0,0.0,7483,83.1,11,0,0,3690
5436,0,356.0,32,30.27,0,675,679,10,0,0.0,9676,65.4,36,0,0,4890
5437,0,166.0,8,12.33,1,660,664,15,1,1.0,20586,52.1,38,1,0,9900
5438,4,404.0,22,24.64,1,685,689,10,0,0.0,19983,49.2,33,0,0,4770
5439,0,690.0,2,28.71,0,685,689,11,0,0.0,13948,74.2,40,0,0,6630
5440,0,707.0,11,38.44,0,670,674,20,2,2.0,9666,28.3,40,0,0,4470
5441,1,99.0,8,17.45,0,660,664,34,1,1.0,17999,69.0,54,0,0,4320
5442,2,108.0,21,7.75,0,685,689,13,1,1.0,10310,45.0,19,1,0,4680
5443,4,300.0,9,23.58,0,675,679,14,0,0.0,5647,49.1,46,1,0,5880
5444,0,70.0,32,30.69,0,695,699,10,1,1.0,19242,58.1,27,1,0,4080
5445,0,191.0,5,31.17,0,670,674,12,0,0.0,9572,69.9,40,1,0,7050
5446,0,184.0,26,9.97,0,685,689,8,3,0.0,7946,43.2,19,0,0,9690
5447,0,483.0,3,23.8,1,665,669,13,0,0.0,6910,53.2,22,0,0,8280
5448,4,134.0,8,20.39,0,710,714,21,0,0.0,9860,30.7,24,1,0,3810
5449,2,89.0,3,17.56,0,700,704,20,0,0.0,53263,54.3,30,0,0,6690
5450,5,301.0,21,23.46,0,680,684,12,0,0.0,19387,73.4,24,1,0,4170
5451,0,539.0,42,33.69,0,665,669,10,0,0.0,18221,95.9,31,1,0,4710
5452,0,71.0,9,22.67,0,700,704,6,0,0.0,16819,82.4,27,1,0,4260
5453,4,275.0,8,16.43,0,670,674,5,0,0.0,36259,95.4,13,0,0,9630
5454,0,542.0,14,19.8,0,725,729,8,0,0.0,20749,46.1,23,1,0,10800
5455,0,186.0,9,21.68,3,660,664,15,0,0.0,33449,84.3,37,1,0,7560
5456,0,48.0,10,34.45,1,675,679,7,0,0.0,8685,68.4,21,0,1,4620
5457,4,451.0,36,26.68,0,705,709,17,0,0.0,30676,68.3,25,0,1,12840
5458,0,484.0,21,13.65,0,715,719,10,0,0.0,16502,34.9,20,1,0,5940
5459,2,32.0,21,2.62,2,700,704,10,0,0.0,4919,34.6,26,0,0,14160
5460,4,63.0,14,25.47,0,755,759,20,0,0.0,23105,20.5,35,1,0,6750
5461,0,773.0,0,22.1,0,680,684,11,0,0.0,8728,43.0,23,1,0,4860
5462,4,392.0,32,31.83,0,765,769,15,0,0.0,18146,29.7,24,0,0,4350
5463,0,242.0,8,33.17,0,675,679,13,0,0.0,2986,99.5,17,1,0,2490
5464,0,112.0,23,18.97,0,670,674,15,1,1.0,9679,34.3,46,0,0,6900
5465,0,76.0,26,17.94,0,660,664,12,1,1.0,5080,43.1,35,0,0,6450
5466,0,102.0,26,18.48,0,690,694,11,0,0.0,18480,48.5,21,1,0,4140
5467,4,144.0,5,3.82,2,685,689,7,0,0.0,2968,22.1,12,0,0,4800
5468,0,31.0,2,3.37,0,690,694,9,1,0.0,6197,22.1,18,1,0,6120
5469,0,310.0,24,16.58,3,680,684,6,0,0.0,7448,37.8,11,0,0,2130
5470,0,58.0,17,19.99,0,670,674,8,0,0.0,5787,34.4,21,0,0,4680
5471,0,152.0,14,24.64,0,685,689,13,0,0.0,8964,36.3,17,0,0,2640
5472,4,392.0,32,18.33,0,685,689,11,0,0.0,34437,93.1,22,1,0,7050
5473,0,340.0,14,31.69,0,715,719,16,0,0.0,24504,45.4,24,0,1,5730
5474,5,456.0,21,20.48,0,680,684,7,1,0.0,278,7.3,17,1,0,4770
5475,0,636.0,27,17.71,0,680,684,6,0,0.0,18555,65.3,24,0,0,4470
5476,0,590.0,8,18.16,2,705,709,11,0,0.0,7381,22.7,22,1,0,10170
5477,4,41.0,25,16.73,0,665,669,9,0,0.0,16842,93.0,14,1,0,3690
5478,8,121.0,14,19.86,0,720,724,6,0,0.0,12439,74.0,10,0,0,1950
5479,4,698.0,35,8.59,0,680,684,11,1,1.0,8229,31.5,22,0,0,7350
5480,5,191.0,5,11.49,0,800,804,9,0,0.0,904,4.3,18,0,0,5010
5481,0,632.0,27,5.9,0,735,739,10,0,0.0,9130,32.4,26,1,0,4500
5482,0,143.0,8,11.91,0,690,694,10,0,0.0,20485,48.2,31,1,0,4590
5483,0,301.0,21,18.18,0,690,694,6,0,0.0,3466,44.4,10,1,0,8490
5484,4,157.0,8,22.49,0,705,709,9,0,0.0,14429,69.4,22,0,0,4980
5485,0,408.0,14,27.46,0,665,669,13,0,0.0,25869,66.0,24,0,0,6030
5486,4,141.0,13,36.5,0,685,689,6,0,0.0,20603,71.3,9,1,0,3390
5487,0,600.0,4,14.91,1,695,699,8,0,0.0,8056,78.2,36,1,0,6240
5488,0,51.0,13,13.66,1,660,664,20,0,0.0,16062,75.4,23,1,0,5250
5489,0,35.0,14,20.39,0,685,689,11,0,0.0,9063,51.8,45,1,0,4500
5490,10,508.0,2,7.01,0,695,699,7,0,0.0,7158,28.2,19,1,0,3690
5491,4,45.0,21,25.77,0,660,664,8,0,0.0,7383,49.4,15,0,0,3750
5492,0,837.0,40,25.59,0,680,684,9,0,0.0,9857,78.9,45,1,0,5100
5493,4,268.0,8,7.41,1,685,689,4,0,0.0,8922,87.5,7,1,0,5430
5494,0,50.0,13,31.41,1,690,694,19,1,0.0,43639,56.2,44,0,0,8070
5495,0,138.0,0,29.07,1,660,664,18,1,1.0,15211,58.7,47,1,0,5370
5496,0,188.0,23,24.55,0,680,684,7,0,0.0,13396,88.7,15,1,0,3390
5497,0,111.0,8,10.44,0,720,724,9,0,0.0,16709,25.1,27,0,0,6150
5498,0,276.0,20,25.03,0,695,699,7,0,0.0,5784,40.7,8,0,0,1620
5499,0,104.0,23,8.17,0,725,729,14,0,0.0,7289,21.5,50,1,0,3600
5500,10,580.0,40,38.21,0,670,674,12,0,0.0,25921,73.0,21,0,0,4680
5501,0,6.0,5,29.86,0,665,669,12,1,1.0,8531,49.9,58,0,0,6030
5502,0,162.0,2,9.75,0,710,714,8,0,0.0,35081,62.4,27,1,0,5790
5503,3,329.0,18,17.78,0,700,704,14,0,0.0,18990,74.1,25,1,0,5100
5504,4,0.0,0,12.9,0,740,744,9,0,0.0,124166,45.3,21,0,0,4800
5505,0,115.0,8,17.36,0,660,664,9,0,0.0,21618,61.4,14,1,0,2670
5506,4,149.0,22,29.67,4,665,669,15,0,0.0,17590,36.7,40,0,0,3840
5507,0,27.0,12,12.36,0,695,699,9,0,0.0,23124,98.8,19,1,0,5160
5508,0,342.0,21,32.21,0,700,704,18,0,0.0,16210,60.3,33,0,0,4110
5509,0,309.0,30,6.0,0,675,679,5,0,0.0,4369,35.0,5,1,0,4320
5510,5,171.0,8,27.62,0,700,704,11,0,0.0,13116,87.4,24,0,0,4590
5511,4,720.0,0,11.31,0,670,674,5,0,0.0,2062,93.7,5,0,0,5010
5512,2,627.0,43,28.68,1,665,669,13,2,1.0,2444,48.9,37,1,0,3810
5513,4,178.0,23,10.86,0,660,664,4,4,2.0,10971,80.1,8,0,0,7650
5514,2,80.0,21,8.47,0,670,674,15,0,0.0,7238,47.6,32,0,0,4260
5515,0,376.0,43,13.96,0,675,679,19,0,0.0,2592,99.7,38,0,0,6720
5516,0,141.0,13,17.08,0,775,779,7,0,0.0,9889,19.5,16,1,0,6480
5517,4,750.0,2,30.84,0,670,674,17,0,0.0,31730,95.3,29,0,0,6240
5518,0,644.0,26,15.29,0,665,669,5,0,0.0,2684,29.8,8,0,0,3150
5519,0,92.0,18,28.6,0,665,669,12,1,0.0,7539,63.4,30,0,0,4800
5520,0,392.0,32,16.71,0,660,664,9,2,1.0,2601,16.3,31,1,0,4350
5521,3,408.0,14,30.9,0,775,779,12,0,0.0,15253,23.9,40,1,0,5400
5522,0,260.0,21,13.97,0,695,699,5,0,0.0,6299,66.3,10,1,0,5400
5523,0,48.0,10,25.04,0,660,664,11,4,4.0,4435,59.1,28,0,0,5760
5524,0,702.0,45,11.46,0,685,689,7,0,0.0,11275,84.1,10,0,0,2130
5525,0,387.0,19,24.46,0,670,674,13,1,1.0,9344,63.1,22,1,0,4440
5526,0,51.0,13,8.02,0,720,724,11,0,0.0,15051,15.2,41,1,0,4500
5527,0,71.0,9,28.61,0,715,719,18,0,0.0,14253,57.0,48,1,0,5910
5528,2,106.0,12,15.2,0,675,679,14,0,0.0,17284,64.0,26,0,0,5010
5529,6,290.0,18,17.21,2,715,719,11,0,0.0,42,0.2,22,0,0,5370
5530,4,373.0,13,20.22,0,665,669,23,1,1.0,7008,20.3,41,0,0,5340
5531,3,111.0,8,4.02,6,690,694,10,0,0.0,6432,35.7,14,0,0,4140
5532,0,394.0,35,14.36,0,700,704,10,1,0.0,12667,57.8,16,0,0,5940
5533,4,186.0,9,25.64,0,675,679,7,0,0.0,7306,69.0,8,1,0,8700
5534,0,535.0,17,21.72,0,720,724,14,0,0.0,8223,23.0,24,1,0,4680
5535,4,33.0,22,10.56,0,690,694,8,0,0.0,9112,44.9,11,1,0,2520
5536,0,139.0,8,10.21,0,695,699,11,0,0.0,12597,40.4,20,0,0,3270
5537,10,74.0,30,10.43,0,715,719,12,0,0.0,6787,34.2,20,1,0,2460
5538,0,125.0,9,27.53,1,665,669,21,0,0.0,18546,61.0,34,0,0,4590
5539,2,164.0,20,13.64,0,765,769,16,0,0.0,115714,20.0,31,0,0,5520
5540,4,88.0,32,27.29,0,685,689,12,0,0.0,9310,50.1,15,0,0,2310
5541,7,599.0,13,20.92,0,745,749,13,0,0.0,17048,29.3,25,1,0,5010
5542,4,45.0,21,9.06,0,775,779,16,0,0.0,15676,24.8,28,1,0,4950
5543,0,4.0,3,33.21,0,795,799,10,0,0.0,5263,12.0,13,0,0,10200
5544,0,120.0,21,17.28,1,670,674,7,0,0.0,2869,12.0,18,0,0,6360
5545,0,73.0,23,1.16,0,690,694,10,0,0.0,1705,16.4,16,0,0,3570
5546,0,62.0,13,20.68,0,715,719,12,0,0.0,79238,61.0,25,1,0,6510
5547,0,230.0,2,29.56,0,725,729,21,1,1.0,13019,28.4,32,1,0,4470
5548,0,304.0,8,18.85,1,715,719,10,0,0.0,7490,34.4,19,0,0,5880
5549,4,162.0,2,9.72,0,755,759,15,0,0.0,46052,33.7,27,1,0,7440
5550,0,31.0,2,20.13,0,720,724,15,0,0.0,14597,30.9,43,1,0,4380
5551,4,36.0,13,9.28,0,685,689,10,0,0.0,91494,88.5,27,1,0,15750
5552,0,435.0,36,14.63,1,660,664,4,2,2.0,5610,36.0,10,0,0,7020
5553,0,85.0,19,24.39,0,690,694,10,0,0.0,7464,76.9,22,1,0,3900
5554,5,324.0,10,17.67,0,675,679,11,1,1.0,5423,91.9,14,0,0,4830
5555,0,718.0,19,15.93,0,690,694,8,2,0.0,6709,53.2,13,1,0,3960
5556,0,247.0,32,19.25,0,670,674,14,0,0.0,14286,60.5,43,0,0,6600
5557,2,116.0,14,22.19,1,725,729,11,0,0.0,20861,63.6,24,0,0,5070
5558,0,65.0,19,14.59,0,705,709,8,1,1.0,8185,37.4,11,0,0,5100
5559,0,196.0,14,30.05,0,695,699,24,0,0.0,17939,34.6,34,1,0,3630
5560,0,502.0,7,27.05,0,670,674,17,1,1.0,44343,75.3,32,0,0,4170
5561,4,324.0,10,22.07,0,760,764,15,0,0.0,14424,34.8,35,0,0,4440
5562,4,387.0,19,20.1,0,665,669,11,1,1.0,9346,65.8,21,0,0,5670
5563,4,66.0,14,22.18,0,660,664,17,1,1.0,17041,50.9,33,0,0,3630
5564,3,94.0,27,16.61,0,765,769,10,0,0.0,83,0.5,16,0,0,5490
5565,2,0.0,0,23.6,0,740,744,6,0,0.0,1904,12.5,12,1,0,6000
5566,0,2.0,2,9.24,0,685,689,19,1,1.0,15685,37.9,45,1,0,7650
5567,4,598.0,14,34.96,2,675,679,24,0,0.0,26118,65.3,34,0,0,9750
5568,0,44.0,26,8.74,3,690,694,11,0,0.0,15944,55.0,37,0,0,6960
5569,0,99.0,8,8.55,0,700,704,14,0,0.0,24360,43.5,35,1,0,5400
5570,4,313.0,43,16.43,2,670,674,9,0,0.0,2843,30.6,16,1,0,3060
5571,0,129.0,30,15.28,2,675,679,21,0,0.0,9390,27.0,39,1,0,4260
5572,0,277.0,8,39.32,0,685,689,16,0,0.0,12235,94.8,27,0,0,4710
5573,9,225.0,18,3.82,0,660,664,5,0,0.0,7585,93.6,6,0,0,2850
5574,4,593.0,38,19.49,3,720,724,17,0,0.0,18955,16.3,37,0,0,17310
5575,0,245.0,26,26.64,0,700,704,13,0,0.0,18408,60.6,19,1,0,4620
5576,6,62.0,13,11.87,0,700,704,5,0,0.0,3877,49.0,6,0,0,4710
5577,4,185.0,3,25.28,0,720,724,8,0,0.0,27116,80.0,13,0,0,6330
5578,5,625.0,13,8.42,3,730,734,4,0,0.0,326,6.5,21,0,0,5130
5579,0,190.0,17,22.0,0,725,729,4,0,0.0,4000,90.9,14,1,0,12330
5580,0,398.0,2,17.42,2,665,669,23,0,0.0,19100,43.0,31,1,0,3420
5581,4,422.0,30,5.01,1,685,689,6,0,0.0,6781,45.8,8,1,0,10650
5582,4,230.0,2,19.71,0,735,739,15,0,0.0,19976,48.4,34,0,0,3480
5583,4,649.0,46,15.59,0,665,669,8,1,0.0,16153,72.8,21,0,0,4320
5584,0,112.0,23,19.64,0,660,664,39,0,0.0,14775,31.8,70,1,0,4380
5585,0,690.0,2,3.4,0,755,759,4,0,0.0,11978,31.9,11,1,0,5640
5586,2,614.0,3,31.77,0,685,689,17,0,0.0,79612,41.7,52,1,0,6120
5587,0,62.0,16,27.19,0,705,709,9,0,0.0,19012,74.9,12,0,0,2880
5588,3,74.0,30,14.42,1,705,709,5,0,0.0,243,0.7,13,0,0,7110
5589,4,51.0,13,15.5,0,670,674,11,0,0.0,11534,90.1,21,0,0,4470
5590,2,529.0,23,13.48,0,660,664,8,0,0.0,5279,103.5,19,0,0,4110
5591,0,158.0,9,15.77,0,685,689,10,0,0.0,25216,74.4,26,0,0,5370
5592,0,32.0,21,0.59,1,705,709,6,0,0.0,6304,34.3,21,1,0,6810
5593,4,389.0,8,16.12,0,675,679,9,0,0.0,40480,82.8,14,1,0,8070
5594,0,18.0,12,10.61,0,740,744,7,0,0.0,9674,32.9,13,0,0,4260
5595,4,253.0,21,5.32,0,660,664,24,1,1.0,3326,11.8,38,0,0,4380
5596,5,240.0,21,4.73,0,685,689,7,0,0.0,439,8.0,8,1,0,1800
5597,0,463.0,48,17.05,0,735,739,8,0,0.0,11958,55.6,16,0,0,4290
5598,0,214.0,41,14.16,0,660,664,10,0,0.0,5416,57.6,12,1,0,1200
5599,4,123.0,12,12.74,0,665,669,9,0,0.0,20965,84.5,27,0,0,9810
5600,0,470.0,18,25.74,2,680,684,6,0,0.0,2776,56.7,15,1,0,4590
5601,4,450.0,19,19.86,0,700,704,11,0,0.0,31977,80.3,42,1,0,3690
5602,0,514.0,13,32.61,1,680,684,31,0,0.0,31794,32.6,48,0,0,6870
5603,8,161.0,14,5.19,0,815,819,6,0,0.0,630,3.7,14,1,0,8610
5604,0,394.0,35,19.17,3,665,669,12,0,0.0,3474,38.2,32,0,0,5280
5605,0,11.0,5,19.32,0,740,744,20,0,0.0,8628,20.3,27,1,0,3330
5606,3,223.0,12,17.63,0,680,684,4,0,0.0,2000,71.4,5,1,0,1800
5607,0,210.0,43,24.05,0,680,684,9,0,0.0,8786,39.8,28,0,0,4800
5608,0,277.0,8,13.14,0,740,744,11,0,0.0,9671,29.1,31,0,0,4860
5609,0,138.0,0,0.67,0,695,699,8,1,1.0,3680,38.3,23,1,0,4620
5610,5,427.0,21,16.44,0,710,714,19,0,0.0,15155,70.8,23,1,0,4590
5611,3,111.0,8,16.09,0,710,714,15,0,0.0,16804,47.3,32,0,0,3030
5612,9,182.0,8,12.35,0,795,799,10,0,0.0,617,2.1,12,0,0,3090
5613,0,237.0,32,12.1,0,700,704,16,0,0.0,11745,20.6,53,0,0,7200
5614,2,495.0,14,5.41,0,715,719,7,0,0.0,6026,27.3,9,0,0,6840
5615,2,104.0,23,18.54,0,685,689,16,1,1.0,4848,21.6,29,1,0,7590
5616,4,331.0,8,11.35,0,705,709,6,0,0.0,39629,85.2,13,0,0,10680
5617,0,17.0,13,11.9,0,670,674,11,0,0.0,30550,70.6,15,0,0,5370
5618,4,141.0,13,6.8,0,675,679,13,2,0.0,16965,50.9,27,0,0,5250
5619,0,185.0,3,3.01,0,685,689,4,0,0.0,8469,87.3,6,0,0,10800
5620,0,306.0,26,27.55,0,710,714,11,0,0.0,27754,75.0,16,0,0,5880
5621,4,196.0,14,17.45,0,700,704,12,0,0.0,20400,79.7,19,0,0,3690
5622,4,184.0,26,19.89,5,675,679,33,0,0.0,17752,13.8,55,0,0,10770
5623,0,178.0,23,18.68,0,810,814,22,0,0.0,7589,11.4,54,0,0,7500
5624,0,62.0,13,10.86,2,670,674,7,0,0.0,13457,51.8,13,0,0,6270
5625,0,27.0,12,11.66,0,675,679,16,0,0.0,19492,72.5,53,0,0,5310
5626,3,499.0,13,2.88,1,660,664,10,1,0.0,5095,19.9,18,1,0,3180
5627,2,17.0,13,3.37,0,730,734,5,0,0.0,1672,38.0,20,0,0,4560
5628,0,140.0,8,3.41,0,665,669,10,0,0.0,5783,85.0,17,1,0,6330
5629,0,235.0,8,18.1,0,700,704,10,1,1.0,7704,96.3,17,1,0,6810
5630,2,277.0,8,24.69,0,685,689,28,0,0.0,13188,47.4,61,0,0,4350
5631,2,259.0,19,19.3,0,720,724,12,0,0.0,15129,42.3,20,0,0,2580
5632,4,414.0,0,23.65,0,665,669,11,0,0.0,11051,65.0,11,1,0,2760
5633,0,324.0,10,31.02,0,705,709,11,0,0.0,118360,86.0,30,1,0,17190
5634,0,161.0,14,23.23,0,820,824,4,0,0.0,85,2.1,12,1,0,6510
5635,4,277.0,8,7.98,0,695,699,14,0,0.0,19465,60.0,42,1,0,8160
5636,0,422.0,30,17.31,0,665,669,10,0,0.0,13353,84.5,14,0,0,4020
5637,4,48.0,10,8.15,0,745,749,11,0,0.0,6710,37.7,27,0,0,6510
5638,0,702.0,45,27.25,1,675,679,14,0,0.0,10567,59.0,34,0,0,6630
5639,0,429.0,8,10.92,0,690,694,7,1,1.0,7318,16.0,11,0,0,3330
5640,2,134.0,8,4.74,0,715,719,6,0,0.0,4345,59.5,6,1,0,4890
5641,4,38.0,21,6.11,0,665,669,5,0,0.0,8394,38.2,7,0,0,1680
5642,0,2.0,2,10.97,0,715,719,10,0,0.0,22789,50.1,22,1,0,5520
5643,5,25.0,13,35.3,0,690,694,15,0,0.0,46271,93.1,32,0,0,4530
5644,0,230.0,2,22.65,0,705,709,11,0,0.0,16098,41.6,34,0,0,7950
5645,0,9.0,7,21.88,0,680,684,5,0,0.0,3046,72.5,12,0,0,4860
5646,0,392.0,32,21.22,0,660,664,8,1,1.0,3459,32.9,31,0,0,3960
5647,0,134.0,8,15.67,1,660,664,8,0,0.0,5564,59.8,10,0,0,3150
5648,0,339.0,26,9.07,1,680,684,12,0,0.0,49098,94.1,23,1,0,9540
5649,5,139.0,8,14.13,0,710,714,10,0,0.0,25133,81.3,32,1,0,10530
5650,0,748.0,46,32.43,0,670,674,9,0,0.0,17740,81.3,16,0,0,3390
5651,0,161.0,14,14.54,0,700,704,19,0,0.0,34674,58.6,47,0,0,9450
5652,0,268.0,8,21.32,0,780,784,11,0,0.0,879,2.6,27,0,0,2880
5653,4,99.0,8,11.71,0,700,704,13,0,0.0,12332,50.1,21,1,0,1920
5654,4,218.0,0,12.17,2,705,709,9,1,0.0,141612,77.7,18,0,0,10350
5655,3,4.0,3,2.02,0,675,679,8,3,0.0,5118,22.5,29,0,0,13350
5656,0,53.0,19,9.26,0,670,674,14,0,0.0,15357,53.3,17,1,0,1710
5657,0,53.0,19,8.57,0,660,664,7,49,3.0,3740,55.8,15,1,0,10440
5658,4,753.0,0,14.4,4,670,674,16,0,0.0,11355,35.6,36,0,0,8130
5659,3,232.0,13,1.8,0,740,744,2,0,0.0,3534,32.7,14,0,0,3990
5660,0,2.0,2,7.53,0,690,694,11,0,0.0,14401,46.6,30,0,0,4710
5661,0,84.0,19,17.05,1,750,754,29,0,0.0,19341,12.0,45,0,0,6240
5662,0,242.0,8,24.71,0,705,709,7,0,0.0,29951,84.6,15,1,0,4620
5663,0,559.0,17,20.12,0,690,694,9,1,0.0,12992,56.5,17,1,0,6030
5664,4,134.0,8,19.04,0,740,744,14,2,0.0,32518,30.6,32,0,0,8610
5665,0,51.0,13,18.87,0,720,724,14,0,0.0,17208,45.4,32,1,0,5760
5666,4,93.0,8,14.55,0,660,664,14,0,0.0,43009,55.4,24,1,0,3000
5667,0,549.0,8,11.13,0,760,764,10,0,0.0,12950,29.0,38,1,0,7680
5668,0,53.0,19,34.34,0,745,749,12,0,0.0,15571,64.1,16,1,0,5670
5669,0,197.0,4,5.87,2,675,679,7,0,0.0,16182,43.2,17,1,0,9540
5670,0,32.0,21,11.98,3,670,674,15,0,0.0,8939,42.4,27,0,0,4890
5671,4,177.0,26,14.42,1,735,739,11,0,0.0,2016,19.4,25,1,0,5160
5672,0,66.0,14,20.55,0,770,774,7,0,0.0,11889,18.8,28,0,0,4200
5673,0,90.0,21,27.46,1,685,689,15,0,0.0,17561,47.0,20,1,0,3630
5674,0,209.0,21,19.76,0,665,669,21,0,0.0,8223,89.4,51,0,0,3420
5675,0,286.0,16,21.26,0,680,684,6,0,0.0,18284,87.1,22,1,0,3300
5676,0,547.0,46,8.65,1,690,694,15,0,0.0,16144,53.6,34,0,0,6420
5677,0,195.0,38,31.13,0,715,719,12,0,0.0,13429,29.8,30,0,0,7080
5678,0,51.0,13,13.93,0,695,699,10,0,0.0,6521,33.3,13,1,0,1320
5679,0,517.0,14,25.56,0,675,679,9,0,0.0,6278,47.6,13,1,0,2520
5680,0,80.0,21,25.43,0,770,774,8,0,0.0,7889,20.1,13,0,0,4260
5681,0,468.0,0,21.95,0,675,679,18,0,0.0,48180,62.2,44,0,0,6720
5682,0,684.0,34,25.96,0,670,674,21,1,1.0,11688,57.9,33,1,0,4110
5683,4,335.0,8,8.4,0,660,664,6,0,0.0,8808,76.6,7,0,0,3090
5684,2,664.0,39,29.44,0,735,739,10,1,1.0,5659,26.7,27,1,0,6150
5685,0,116.0,14,38.88,0,720,724,12,0,0.0,8157,45.1,17,1,0,4080
5686,0,136.0,8,4.02,0,680,684,4,1,1.0,9221,64.9,10,1,0,4500
5687,4,330.0,21,12.33,0,735,739,15,0,0.0,9950,53.5,25,1,0,4200
5688,5,23.0,9,17.14,0,730,734,6,1,1.0,2420,23.5,7,0,0,5070
5689,3,13.0,10,19.19,0,675,679,9,1,1.0,4577,12.1,33,0,0,6570
5690,5,416.0,19,11.96,0,710,714,8,0,0.0,7061,69.9,15,1,0,6120
5691,0,631.0,42,24.07,5,660,664,17,0,0.0,10254,66.2,38,0,0,7350
5692,0,112.0,23,19.5,3,685,689,12,0,0.0,4760,39.7,29,0,0,8250
5693,0,25.0,13,11.89,0,670,674,5,0,0.0,7855,89.3,16,0,0,5820
5694,4,57.0,9,7.04,0,730,734,12,0,0.0,17115,21.2,18,0,0,6510
5695,4,185.0,3,19.32,0,700,704,8,0,0.0,12868,35.6,13,1,0,5550
5696,0,335.0,8,7.03,0,675,679,17,0,0.0,2087,8.8,33,0,0,3480
